,0
1928,
1929,
1930,
1931,
1932,
1933,
1934,
1935,
1936,
1937,
1938,
1939,
1940,
1941,
1942,
1943,
1944,
1945,
1946,
1947,
1948,
1949,
1950,
1951,
1952,
1953,
1954,
1955,
1956,
1957,
1958,
1959,
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,0.26
1981,-0.11
1982,-0.28
1983,0.99
1984,-0.23
1985,-2.83
1986,-0.79
1987,-0.64
1988,-0.27
1989,-1.74
1990,-1.73
1991,-1.62
1992,-1.04
1993,-1.32
1994,0.02
1995,-0.98
1996,-0.47
1997,-0.58
1998,1.05
1999,0.72
2000,0.15
2001,0.12
2002,-0.32
2003,-0.46
2004,0.23
2005,0.64
2006,0.88
2007,0.21
2008,0.59
2009,-0.06
2010,0.73
2011,1.14
2012,1.07
2013,1.07
2014,-0.40
2015,-1.52
2016,-0.47
2017,-0.59
2018,0.15
2019,-0.37
2020,0.55
2021,1.01
2022,1.20
2023,1.33
