,0
1946,2.33
1947,1.27
1948,-0.03
1949,0.81
1950,-0.46
1951,0.61
1952,0.01
1953,0.28
1954,-0.26
1955,-0.07
1956,-0.48
1957,-0.69
1958,-0.25
1959,-1.17
1960,-0.44
1961,-0.81
1962,-0.41
1963,-0.52
1964,-1.47
1965,-0.71
1966,-0.87
1967,-0.76
1968,-0.16
1969,0.03
1970,0.12
1971,-0.36
1972,-0.76
1973,-0.52
1974,0.20
1975,-0.15
1976,0.22
1977,0.29
1978,0.46
1979,0.08
1980,-0.11
1981,0.09
1982,-0.97
1983,-0.64
1984,-0.88
1985,-0.88
1986,-0.28
1987,-0.73
1988,-0.45
1989,-0.81
1990,-1.32
1991,-1.21
1992,-0.82
1993,-0.94
1994,-0.50
1995,-0.30
1996,-0.24
1997,-0.25
1998,-0.54
1999,0.46
2000,0.23
2001,-0.07
2002,-0.03
2003,-0.45
2004,0.14
2005,0.22
2006,0.51
2007,-0.49
2008,-0.35
2009,-0.46
2010,0.88
2011,1.24
2012,0.70
2013,0.44
2014,-0.45
2015,-0.33
2016,0.28
2017,-0.36
2018,0.78
2019,0.30
2020,1.15
2021,1.89
2022,1.24
2023,0.52
1924,-1.53
1925,
1926,-2.06
1927,-1.41
1928,0.20
1929,-0.47
1930,-1.14
1931,-0.82
1932,-0.12
1933,-0.03
1934,-0.09
1935,-0.36
1936,-0.69
1937,0.26
1938,-0.20
1939,-1.83
1940,-2.79
1941,-0.33
1942,-2.06
1943,-1.30
1944,-1.21
1945,-0.35
